# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	6719
#@/user_id	winK
a 	阿	c=14 d=1.69988 t=6719
fu chan ke 	妇产科	c=1 d=0.516851 t=6719
fu chou 	复仇	c=1 d=1 t=5856
fu he 	符合	c=1 d=0.0305009 t=6719
fu wu 	服务	c=5 d=0.66365 t=6719
fu wu duan 	服务端	c=4 d=0.00172173 t=6719
fu wu qi 	服务器	c=4 d=0.370931 t=6719
fu wu yuan 	服务员	c=1 d=1 t=4349
fu ze 	负责	c=2 d=0.0801395 t=6719
fu zhu 	辅助	c=2 d=1.96561 t=6370
fu zi 	父子	c=1 d=0.000173384 t=6719
fu zu 	富足	c=1 d=1 t=6369
gai 	改	c=3 d=0.215601 t=6719
gai bian 	改编	c=2 d=0.00127265 t=6719
gai bu hui 	该不会	c=8 d=0.0145674 t=6719
gai nian 	概念	c=3 d=0.670327 t=6719
gai si 	该死	c=1 d=0.10383 t=6719
gan 	干	c=6 d=0.669289 t=6719
gan 	感	c=1 d=1 t=5456
gan 	敢	c=1 d=0.106459 t=6719
gan jin 	赶紧	c=3 d=0.538705 t=6719
gan jue 	感觉	c=10 d=1.16755 t=6719
gan jue dao 	感觉到	c=1 d=1 t=6711
gan ma 	干嘛	c=4 d=1.06352 t=6297
gang 	刚	c=4 d=0.745299 t=6719
gang gang 	刚刚	c=4 d=0.312478 t=6719
gao 	搞	c=13 d=0.767758 t=6719
gao 	高	c=4 d=0.722527 t=6719
gao bai 	告白	c=1 d=1 t=5405
gao chu 	搞出	c=1 d=0.99005 t=6719
gao cuo 	搞错	c=1 d=1 t=4630
gao ding 	搞定	c=2 d=1.14957 t=6034
gao dong 	搞懂	c=1 d=1 t=5276
gao duan 	高端	c=1 d=0.0833256 t=6719
gao ji 	高级	c=1 d=0.0867261 t=6719
gao neng 	高能	c=1 d=0.123687 t=6719
gao qiao 	高桥	c=1 d=0.00098783 t=6719
gao su 	告诉	c=1 d=1 t=5699
gao su 	高速	c=1 d=1 t=5946
gao xiao 	搞笑	c=3 d=0.00946646 t=6719
gao xiao 	高校	c=1 d=1 t=5006
gao xin 	高新	c=1 d=1 t=4572
gao yi xia 	搞一下	c=1 d=0.729789 t=6719
gao yu 	高于	c=1 d=0.0728029 t=6719
ge 	个	c=32 d=1.72395 t=6719
ge 	哥	c=8 d=1.4076 t=6719
ge bi 	隔壁	c=2 d=1.90032 t=4524
ge ge 	哥哥	c=4 d=0.00930283 t=6719
ge ren 	个人	c=7 d=0.152572 t=6719
ge wei shu 	个位数	c=1 d=0.00585769 t=6719
ge zhe 	搁这	c=1 d=1 t=5251
ge zhe 	隔着	c=1 d=1 t=4825
gei 	给	c=6 d=0.617497 t=6719
gei ge 	给个	c=1 d=0.0713613 t=6719
gei ni 	给你	c=4 d=0.940033 t=6719
gei ta 	给他	c=1 d=1 t=6512
gei wo 	给我	c=3 d=0.0162389 t=6719
gen 	根	c=1 d=0.900325 t=6719
gen 	跟	c=10 d=1.81421 t=6719
gen ben 	根本	c=2 d=0.571209 t=6719
gen ju 	根据	c=3 d=0.947119 t=6719
gen ni 	跟你	c=1 d=0.0349094 t=6719
gen wo shuo 	跟我说	c=1 d=1 t=4881
geng 	更	c=7 d=0.329459 t=6719
geng duo 	更多	c=2 d=0.477114 t=6719
geng gao 	更高	c=1 d=0.375311 t=6719
geng kuai 	更快	c=1 d=1 t=5953
geng xin 	更新	c=6 d=2.3274 t=6719
geng xin de 	更新得	c=1 d=0.0420036 t=6719
geng zao 	更早	c=1 d=1 t=6145
gong 	公	c=1 d=1 t=6682
gong dian 	供电	c=1 d=0.0742736 t=6719
gong gong 	公共	c=1 d=1 t=5964
gong hui 	工会	c=1 d=1 t=5907
gong ji xing 	攻击性	c=3 d=0.207758 t=6719
gong ju 	工具	c=4 d=1.02894 t=6719
gong lve 	攻略	c=1 d=0.264477 t=6719
gong neng 	功能	c=1 d=1 t=5026
gong shi gong ban 	公事公办	c=1 d=0.00159641 t=6719
gong si 	公司	c=7 d=0.597924 t=6719
gong yu 	公寓	c=1 d=0.0845849 t=6719
gong zuo 	工作	c=12 d=0.407554 t=6719
gong zuo shi 	工作室	c=1 d=1 t=4961
gou 	狗	c=1 d=0.0347353 t=6719
gou jian 	构建	c=3 d=1.9822 t=6719
gou jiao 	狗叫	c=1 d=0.143704 t=6719
gou ming 	狗命	c=1 d=0.00484407 t=6719
gou pi 	狗屁	c=1 d=0.615697 t=6719
gou tou 	狗头	c=1 d=0.597501 t=6719
gou yan 	狗眼	c=1 d=1 t=4947
gou yong 	够用	c=1 d=1 t=6290
gu ding 	固定	c=1 d=0.0287246 t=6719
gu du 	孤独	c=0 d=0.00804596 t=6719
gu du yao gun 	孤独摇滚	c=1 d=0.0808629 t=6719
gu ge 	谷歌	c=8 d=4.65872 t=6719
gu ge fan yi 	谷歌翻译	c=2 d=1.18637 t=6719
gu ji 	估计	c=5 d=1.47555 t=6719
gu jian 	固件	c=1 d=1 t=6425
gu tai 	固态	c=5 d=1.66436 t=6719
gu zhang 	故障	c=1 d=0.995012 t=6719
gua 	挂	c=1 d=0.00704808 t=6719
gua zai 	挂载	c=1 d=1 t=5676
guai dan 	怪诞	c=1 d=0.310367 t=6719
guai wo 	怪我	c=1 d=0.0930145 t=6719
guan 	关	c=1 d=0.0944202 t=6719
guan 	管	c=4 d=0.286281 t=6719
guan 	观	c=1 d=0.00133343 t=6719
guan bi 	关闭	c=2 d=0.83527 t=6719
guan diao 	关掉	c=1 d=1 t=6183
guan fang 	官方	c=5 d=0.249075 t=6719
guan kan 	观看	c=1 d=0.0135009 t=6719
guan li 	管理	c=4 d=0.070207 t=6719
guan li ceng 	管理层	c=1 d=0.172907 t=6719
guan li yuan 	管理员	c=2 d=0.0871652 t=6719
guan ni 	管你	c=2 d=0.216536 t=6719
guan ta 	管他	c=1 d=0.235746 t=6719
guan wang 	官网	c=1 d=1 t=6717
guan xi 	关系	c=3 d=1.36837 t=5569
guan zhong 	观众	c=2 d=0.00144546 t=6719
guan zhu 	关注	c=2 d=0.0692522 t=6719
guang 	光	c=1 d=1 t=4600
guang 	逛	c=1 d=1 t=5036
guang tou 	光头	c=1 d=1 t=6242
gui 	贵	c=1 d=0.319819 t=6719
gui 	鬼	c=1 d=1 t=6291
gui bu gui 	鬼不鬼	c=1 d=0.191092 t=6719
gui gui 	龟龟	c=3 d=0.0204085 t=6719
gui huo 	鬼火	c=1 d=0.102284 t=6719
gui ze 	规则	c=3 d=0.157741 t=6719
guo 	果	c=1 d=0.153355 t=6719
guo 	蝈	c=2 d=0.240671 t=6719
guo 	过	c=14 d=1.19748 t=6719
guo ji 	国际	c=2 d=1.6157 t=4866
guo jia 	国家	c=1 d=1 t=4740
guo jia jia 	过家家	c=1 d=0.00323088 t=6719
guo lai 	过来	c=1 d=1 t=5262
guo nei 	国内	c=6 d=1.24272 t=6719
guo qi 	国企	c=2 d=1.62189 t=4666
guo qi 	过期	c=1 d=0.162026 t=6719
guo wai 	国外	c=1 d=0.631284 t=6719
ha 	哈	c=1 d=0.786628 t=6719
ha ha 	哈哈	c=3 d=0.371577 t=6719
ha ha ha 	哈哈哈	c=4 d=0.50409 t=6719
hai 	害	c=2 d=0.132655 t=6719
hai 	海	c=9 d=0.980199 t=6719
hai 	还	c=16 d=0.885592 t=6719
hai de 	害的	c=1 d=0.113042 t=6719
hai guan 	海关	c=1 d=1 t=5075
hai hao 	还好	c=4 d=0.0466643 t=6719
hai lun 	海伦	c=3 d=2.91316 t=6678
hai mei 	还没	c=2 d=0.410697 t=6719
hai mei shui 	还没睡	c=1 d=0.00522135 t=6719
hai neng 	还能	c=4 d=0.541006 t=6719
hai shi 	还是	c=13 d=1.07631 t=6719
hai shuo 	还说	c=2 d=0.392586 t=6719
hai wai 	海外	c=2 d=1.20113 t=6719
hai xiang 	还想	c=2 d=1.5886 t=4862
hai xuan 	海选	c=1 d=1 t=4722
hai yao 	还要	c=2 d=0.00176065 t=6719
hai you 	还有	c=13 d=2.33381 t=6719
hai zhen 	还真	c=1 d=0.56836 t=6719
hai zi 	孩子	c=15 d=0.56328 t=6719
han liang 	含量	c=1 d=0.71177 t=6719
han shu 	函数	c=1 d=0.060205 t=6719
hang 	行	c=2 d=0.0788664 t=6719
hao 	号	c=2 d=0.985112 t=6719
hao 	好	c=29 d=3.57339 t=6719
hao 	豪	c=1 d=0.179964 t=6719
hao ba 	好吧	c=2 d=0.00301597 t=6719
hao beng kui 	好崩溃	c=1 d=1 t=6489
hao bu hao kan 	好不好看	c=1 d=1 t=5701
hao chu 	好处	c=2 d=0.0216236 t=6719
hao dai 	好歹	c=1 d=0.031273 t=6719
hao duo 	好多	c=3 d=0.0490458 t=6719
hao fan 	好烦	c=1 d=0.771052 t=6719
hao hao hao 	好好好	c=1 d=1 t=6463
hao ji bian 	好几遍	c=1 d=0.0183156 t=6719
hao jiu 	好久	c=3 d=0.00243847 t=6719
hao kan 	好看	c=1 d=1 t=5877
hao mi 	好米	c=1 d=1 t=6630
hao nv ren 	好女人	c=1 d=1 t=6238
hao se 	好色	c=2 d=1.00192 t=5860
hao shuo 	好说	c=1 d=1 t=5861
hao xiang 	好像	c=11 d=0.988624 t=6719
hao xin qing 	好心情	c=1 d=1 t=6637
hao yong 	好用	c=3 d=1.27787 t=6719
hao zhen shi 	好真实	c=1 d=0.0025415 t=6719
he 	和	c=11 d=0.940764 t=6719
he 	核	c=1 d=0.154896 t=6719
he ji 	合集	c=1 d=1 t=5326
he wo 	和我	c=1 d=0.0113902 t=6719
he xie 	和谐	c=1 d=0.000169103 t=6719
hei 	黑	c=3 d=0.0223793 t=6719
hei ti 	黑体	c=1 d=0.0182243 t=6719
hen 	很	c=7 d=0.0688395 t=6719
hen duo 	很多	c=5 d=0.929562 t=6719
hen fu he 	很符合	c=1 d=1 t=4569
hen hao 	很好	c=3 d=0.0409665 t=6719
hen hen 	狠狠	c=1 d=0.219808 t=6719
hen jiu 	很久	c=2 d=0.0149342 t=6719
hen kuai 	很快	c=1 d=0.000274654 t=6719
hen shao 	很少	c=2 d=0.060205 t=6719
hen xian ran 	很显然	c=1 d=0.0361528 t=6719
hen you 	很有	c=1 d=1 t=5248
hen zheng chang 	很正常	c=1 d=1 t=6660
heng 	横	c=1 d=0.15259 t=6719
hong mi 	红米	c=1 d=1 t=4292
hou 	厚	c=2 d=0.108067 t=6719
hou 	后	c=8 d=1.09398 t=6719
hou duan 	后端	c=2 d=1.99501 t=5283
hou li 	厚礼	c=1 d=1 t=4488
hou mian 	后面	c=13 d=0.880584 t=6719
hou qi 	后期	c=1 d=1 t=5824
hou tai 	后台	c=1 d=1 t=5682
hou xu 	后续	c=1 d=1 t=5571
hou zhe 	后者	c=2 d=0.967319 t=6719
hu 	糊	c=3 d=0.955997 t=6719
hu lian wang 	互联网	c=1 d=0.0380064 t=6719
hu lve ta 	忽略它	c=1 d=1 t=6645
hua 	画	c=3 d=0.300938 t=6719
hua 	花	c=5 d=0.641042 t=6719
hua 	话	c=4 d=0.904919 t=6719
hua de 	画的	c=1 d=0.0290133 t=6719
hua diao 	划掉	c=1 d=0.433874 t=6719
hua li hu shao 	花里胡哨	c=1 d=0.0281559 t=6719
hua mian 	画面	c=3 d=0.0165772 t=6719
hua shuo 	话说	c=5 d=0.0380064 t=6719
hua zhi 	画质	c=1 d=0.212248 t=6719
huai 	坏	c=1 d=0.0753961 t=6719
huai yun 	怀孕	c=1 d=0.506617 t=6719
huan 	幻	c=1 d=0.506617 t=6719
huan 	换	c=4 d=2.9389 t=5547
huan 	环	c=1 d=0.084163 t=6719
huan 	还	c=1 d=0.00486835 t=6719
huan cun 	缓存	c=3 d=0.724153 t=6719
huan wo 	还我	c=1 d=0.0837432 t=6719
huang mao 	黄毛	c=1 d=0.000177774 t=6719
hui 	会	c=24 d=1.57805 t=6719
hui 	回	c=3 d=1.07054 t=6719
hui 	绘	c=7 d=5.05004 t=6699
hui 	辉	c=2 d=0.100761 t=6719
hui bu hui 	会不会	c=2 d=0.806541 t=6719
hui fu 	回复	c=2 d=0.202425 t=6719
hui fu 	恢复	c=1 d=0.147342 t=6719
hui hua 	绘画	c=1 d=0.0270518 t=6719
hui lai 	回来	c=0 d=0.1 t=5076
hui lai le 	回来了	c=1 d=0.203926 t=6719
hui qu 	回去	c=1 d=1 t=6276
hui shou 	回收	c=1 d=1 t=6200
hui tou 	回头	c=1 d=0.000246044 t=6719
hui xiang qi lai 	回想起来	c=1 d=0.000536738 t=6719
hui yi 	会议	c=2 d=1.38154 t=6719
hui you 	会有	c=3 d=0.982291 t=6719
huo 	或	c=5 d=0.45612 t=6719
huo 	活	c=1 d=0.00923273 t=6719
huo 	货	c=1 d=0.814647 t=6719
huo de 	获得	c=1 d=0.467666 t=6719
huo dong 	活动	c=0 d=2.00439e-05 t=6719
huo gai 	活该	c=1 d=1 t=4759
huo qu 	获取	c=2 d=0.095312 t=6719
huo xu 	或许	c=3 d=1.77122 t=6233
huo zhe 	或者	c=5 d=0.822835 t=6719
ji 	几	c=3 d=0.634643 t=6719
ji 	急	c=1 d=0.208045 t=6719
ji 	机	c=4 d=1.00194 t=6031
ji 	集	c=5 d=0.00268021 t=6719
ji ba 	几把	c=2 d=1.02746 t=5656
ji bai 	几百	c=1 d=0.000231716 t=6719
ji bao 	挤爆	c=1 d=0.0109436 t=6719
ji ben 	基本	c=1 d=0.0605068 t=6719
ji ben shang 	基本上	c=9 d=0.911618 t=6719
ji bie 	级别	c=1 d=0.0702988 t=6719
ji cao 	基操	c=1 d=1 t=5731
ji chang 	机场	c=1 d=0.414783 t=6719
ji chu 	基础	c=2 d=0.0490458 t=6719
ji chu lai 	挤出来	c=1 d=1 t=6314
ji cuo 	记错	c=1 d=0.000662162 t=6719
ji duan 	极端	c=1 d=0.790571 t=6719
ji ge 	几个	c=1 d=1 t=6118
ji huan 	疾患	c=1 d=0.0297478 t=6719
ji huang 	饥荒	c=9 d=0.583141 t=6719
ji hui 	机会	c=1 d=0.0871609 t=6719
ji jia 	几家	c=1 d=0.0228227 t=6719
ji qiao 	技巧	c=1 d=1 t=6573
ji ran 	既然	c=1 d=1 t=4781
ji shi gan 	既视感	c=1 d=1 t=5386
ji suan ji 	计算机	c=2 d=1.9802 t=5518
ji suan qi 	计算器	c=1 d=1 t=5778
ji wei 	机位	c=1 d=0.0288686 t=6719
ji xie 	机械	c=2 d=0.341298 t=6719
ji xu 	继续	c=2 d=0.161218 t=6719
ji xu kan 	继续看	c=1 d=0.0026852 t=6719
ji yu 	基于	c=1 d=1 t=4426
ji yuan 	纪元	c=2 d=0.128735 t=6719
ji zhe 	急着	c=1 d=0.546074 t=6719
jia 	价	c=2 d=0.0732209 t=6719
jia 	加	c=1 d=0.0473589 t=6719
jia 	家	c=1 d=1 t=5599
jia ba jin 	加把劲	c=1 d=0.394554 t=6719
jia ge 	价格	c=2 d=0.869358 t=6719
jia hua 	假话	c=1 d=1 t=4284
jia kuan 	家宽	c=1 d=1 t=6043
jia li 	家里	c=1 d=0.856415 t=6719
jia mian qi shi 	假面骑士	c=1 d=0.00506703 t=6719
jia ming 	假名	c=1 d=0.000488095 t=6719
jia qian 	价钱	c=1 d=1 t=6270
jia ru 	假如	c=4 d=0.805867 t=6719
jia ru 	加入	c=2 d=0.511709 t=6719
jia ru shuo 	假如说	c=1 d=1 t=4794
jia su 	加速	c=3 d=1.73104 t=6719
jia xing 	嘉兴	c=2 d=0.588294 t=6719
jia zai 	加载	c=1 d=0.965605 t=6719
jia zhi 	价值	c=2 d=0.8207 t=6719
jia zu 	家族	c=1 d=1 t=5430
jian 	尖	c=1 d=1 t=4742
jian 	见	c=1 d=0.169483 t=6719
jian ce 	检测	c=3 d=0.17302 t=6719
jian dan 	简单	c=4 d=0.117239 t=6719
jian die 	间谍	c=1 d=0.00321477 t=6719
jian ding 	鉴定	c=1 d=0.229925 t=6719
jian guo 	坚果	c=1 d=1 t=5913
jian guo 	见过	c=6 d=0.643132 t=6719
jian ji 	剪辑	c=2 d=1.99005 t=4982
jian jie 	简介	c=1 d=0.0207543 t=6719
jian li 	建立	c=2 d=0.151545 t=6719
jian li 	简历	c=7 d=1.11036 t=6719
jian mo 	建模	c=1 d=0.0275983 t=6719
jian ru 	键入	c=1 d=0.191092 t=6719
jian yi 	建议	c=5 d=0.423649 t=6719
jiang 	将	c=9 d=0.915246 t=6719
jiang 	酱	c=4 d=0.86941 t=6719
jiang di 	降低	c=1 d=0.0115047 t=6719
jiang jiu 	讲究	c=1 d=0.00113061 t=6719
jiang shi hua 	讲实话	c=3 d=0.0655462 t=6719
jiang su 	降速	c=1 d=1 t=5965
jiang xi 	江西	c=1 d=0.000181365 t=6719
jiao 	叫	c=3 d=0.133026 t=6719
jiao 	角	c=1 d=0.99005 t=6719
jiao ben 	脚本	c=7 d=0.514764 t=6719
jiao cheng 	教程	c=2 d=0.0515605 t=6719
jiao du 	角度	c=1 d=0.794534 t=6719
jiao ni 	叫你	c=1 d=0.0057417 t=6719
jiao ni 	教你	c=1 d=0.289384 t=6719
jiao wo 	叫我	c=1 d=1 t=6266
jiao yan 	教研	c=1 d=0.0057994 t=6719
jiao yan 	校验	c=1 d=0.00582847 t=6719
jiao zhen 	较真	c=1 d=0.157237 t=6719
jie 	接	c=1 d=1 t=6481
jie chu 	接触	c=1 d=0.839457 t=6719
jie chu 	解除	c=1 d=0.831104 t=6719
jie dian 	节点	c=5 d=0.441391 t=6719
jie dian shi 	节点式	c=1 d=0.0611149 t=6719
jie duan 	阶段	c=1 d=0.113608 t=6719
jie guan 	接管	c=2 d=0.109547 t=6719
jie guo 	结果	c=1 d=0.00946646 t=6719
jie jie 	姐姐	c=1 d=1 t=6627
jie ju 	结局	c=2 d=0.0169227 t=6719
jie jue 	解决	c=4 d=0.124285 t=6719
jie ke 	皆可	c=1 d=0.0555762 t=6719
jie kou 	接口	c=1 d=0.847894 t=6719
jie shao 	介绍	c=3 d=0.0414738 t=6719
jie shou 	接受	c=1 d=0.97531 t=6719
jie shu 	结束	c=6 d=1.84681 t=6719
jie tou 	接头	c=1 d=1 t=6584
jie tu 	截图	c=2 d=1.15527 t=6719
jie xi 	解析	c=2 d=0.268474 t=6719
jie yi 	介意	c=1 d=0.0100017 t=6719
jin 	近	c=1 d=1 t=6124
jin 	进	c=6 d=0.0881886 t=6719
jin bu qu 	进不去	c=2 d=1.98511 t=6557
jin du 	进度	c=1 d=0.0317456 t=6719
jin du tiao 	进度条	c=2 d=0.0342456 t=6719
jin fa 	金发	c=2 d=0.45301 t=6719
jin hua 	进化	c=1 d=0.126818 t=6719
jin qu 	进去	c=1 d=1 t=4681
jin shan 	金山	c=1 d=1 t=6295
jin shu 	金属	c=1 d=1 t=6442
jin tian 	今天	c=5 d=0.663035 t=6719
jin xian 	仅限	c=1 d=0.0713613 t=6719
jin xing 	进行	c=3 d=0.2287 t=6719
jin xu 	仅需	c=1 d=0.00670434 t=6719
jing dian 	经典	c=1 d=1 t=4544
jing fei 	经费	c=1 d=1 t=4598
jing jie 	境界	c=1 d=0.115903 t=6719
jing jue 	警觉	c=1 d=0.00149594 t=6719
jing ran 	竟然	c=3 d=0.049322 t=6719
jing shen 	精神	c=3 d=0.313511 t=6719
jing xiang 	镜像	c=13 d=5.46526 t=6719
jing xiao shang 	经销商	c=1 d=1 t=6447
jing yan 	经验	c=1 d=0.0623495 t=6719
jiu 	久	c=1 d=1 t=4520
jiu 	就	c=75 d=3.80904 t=6719
jiu 	酒	c=1 d=1 t=6590
jiu dei 	就得	c=1 d=1 t=5445
jiu guo 	救国	c=1 d=1 t=6017
jiu neng 	就能	c=2 d=0.00219846 t=6719
jiu shi 	就是	c=29 d=4.07375 t=6719
jiu suan 	就算	c=4 d=1.67668 t=5588
jiu wei 	久违	c=1 d=0.180866 t=6719
jiu xiang 	就像	c=1 d=0.162838 t=6719
jiu xing 	就行	c=1 d=0.0262523 t=6719
jiu yao 	就要	c=1 d=0.082085 t=6719
jiu you 	就有	c=1 d=1 t=6397
jiu yue 	九月	c=2 d=1.17457 t=6719
jiu zai 	就在	c=1 d=1 t=6103
jiu zhe 	就着	c=1 d=1 t=6655
ju 	剧	c=1 d=0.0117959 t=6719
ju 	巨	c=2 d=0.0028799 t=6719
ju ben 	剧本	c=1 d=0.000528747 t=6719
ju chang 	剧场	c=1 d=0.118837 t=6719
ju ge li zi 	举个例子	c=1 d=0.516851 t=6719
ju li 	剧里	c=1 d=0.0010701 t=6719
ju qing 	剧情	c=4 d=0.0059016 t=6719
ju shuo 	据说	c=1 d=1 t=6197
ju ti 	具体	c=1 d=0.00108628 t=6719
ju tou 	剧透	c=1 d=0.000342239 t=6719
ju zhen 	矩阵	c=2 d=0.164581 t=6719
jue 	绝	c=1 d=0.677057 t=6719
jue 	觉	c=2 d=0.711305 t=6719
jue de 	觉得	c=12 d=1.45716 t=6719
jue dui 	绝对	c=1 d=0.00215492 t=6719
jue se 	角色	c=6 d=0.391143 t=6719
ka 	卡	c=7 d=4.22895 t=6719
ka fei 	咖啡	c=1 d=0.179964 t=6719
kai 	开	c=2 d=0.13512 t=6719
kai fa 	开发	c=1 d=0.0385808 t=6719
kai fa bu 	开发部	c=1 d=1 t=4676
kai ju 	开局	c=1 d=1 t=4981
kai piao 	开票	c=1 d=1 t=5173
kai qi 	开启	c=1 d=0.128735 t=6719
kai shen me 	开什么	c=1 d=1 t=6683
kai shi 	开始	c=1 d=0.138761 t=6719
kai tuo 	开脱	c=1 d=1 t=4904
kai xin 	开心	c=1 d=1 t=6062
kai yuan 	开源	c=1 d=1 t=4467
kan 	看	c=49 d=2.72776 t=6719
kan bu chu 	看不出	c=0 d=0.0225373 t=6719
kan bu chu lai jiang 	看不出来讲	c=1 d=0.226502 t=6719
kan bu dao 	看不到	c=1 d=0.00123708 t=6719
kan bu de 	看不得	c=1 d=0.380983 t=6719
kan bu dong 	看不懂	c=2 d=0.214381 t=6719
kan bu kan 	看不看	c=1 d=0.0270518 t=6719
kan bu liao 	看不了	c=1 d=1 t=5019
kan bu qing 	看不清	c=1 d=0.246597 t=6719
kan bu xia qu 	看不下去	c=1 d=0.158817 t=6719
kan chu lai 	看出来	c=1 d=0.00220948 t=6719
kan cuo 	看错	c=1 d=0.554327 t=6719
kan dao 	看到	c=14 d=0.88239 t=6719
kan dong 	看懂	c=2 d=0.214142 t=6719
kan fa 	看法	c=1 d=0.329559 t=6719
kan guo 	看过	c=6 d=0.146467 t=6719
kan kan 	看看	c=5 d=0.487044 t=6719
kan kan kan 	看看看	c=1 d=0.0149956 t=6719
kan lai 	看来	c=3 d=0.316637 t=6719
kan qi lai 	看起来	c=3 d=1.27783 t=6719
kan qing 	看清	c=1 d=0.254107 t=6719
kan wan 	看完	c=3 d=0.806566 t=6719
kao bei 	拷贝	c=1 d=0.0393602 t=6719
kao lv 	考虑	c=1 d=1 t=5144
kao yan 	考研	c=2 d=0.0332068 t=6719
ke 	可	c=1 d=1 t=6680
ke ai 	可爱	c=2 d=1.00484 t=6619
ke ban 	刻板	c=2 d=1.00004 t=6611
ke ban yin xiang 	刻板印象	c=1 d=1 t=6610
ke bu hui 	可不会	c=1 d=1 t=5476
ke hai xing 	可还行	c=1 d=1 t=6475
ke hu duan 	客户端	c=1 d=1 t=5217
ke ji 	科技	c=5 d=2.58322 t=6719
ke long 	克隆	c=2 d=0.985112 t=6719
ke lu ji 	刻录机	c=1 d=0.913931 t=6719
ke neng 	可能	c=7 d=0.369398 t=6719
ke pu 	科普	c=3 d=1.39198 t=6719
ke shi 	可是	c=2 d=0.131017 t=6719
ke wu 	可恶	c=1 d=1 t=4920
ke xi 	可惜	c=1 d=1 t=5791
ke xue 	科学	c=3 d=0.444579 t=6719
ke yan 	科研	c=1 d=1 t=5221
ke yi 	可以	c=34 d=2.46177 t=6719
ke yi ma 	可以吗	c=1 d=0.0175097 t=6719
ke yi shuo 	可以说	c=0 d=0.0279431 t=6719
ken ding 	肯定	c=4 d=0.360606 t=6719
kong 	空	c=4 d=0.647521 t=6719
kong jiang 	空降	c=1 d=1 t=6303
kong pa 	恐怕	c=1 d=1 t=5643
kong zhi 	控制	c=1 d=1 t=4324
kou 	口	c=1 d=0.56836 t=6719
ku 	哭	c=1 d=0.000773179 t=6719
ku 	库	c=2 d=0.431711 t=6719
ku 	酷	c=2 d=1.98511 t=6527
ku pu 	库普	c=1 d=0.701173 t=6719
kuai 	块	c=3 d=0.802519 t=6719
kuai 	快	c=4 d=0.528847 t=6719
kuai jie jian 	快捷键	c=1 d=1 t=4983
kuai shuo 	快说	c=1 d=0.132655 t=6719
kuai su 	快速	c=3 d=0.95963 t=6719
kuang jia 	框架	c=2 d=0.196762 t=6719
kun nan 	困难	c=1 d=1 t=6225
la 	啦	c=5 d=0.494442 t=6719
la 	辣	c=1 d=1 t=6629
la che 	拉扯	c=1 d=1 t=5448
la ji 	垃圾	c=1 d=1 t=5108
la qu 	拉去	c=1 d=0.000278804 t=6719
lai 	来	c=16 d=0.787911 t=6719
lai 	莱	c=1 d=1 t=4281
lai ce shi 	来测试	c=1 d=0.0122161 t=6719
lai ge 	来个	c=2 d=0.589288 t=6719
lai jiang 	来讲	c=0 d=0.0225373 t=6719
lai kai 	来开	c=1 d=0.960789 t=6719
lai li 	来历	c=1 d=0.609571 t=6719
lai sha 	莱莎	c=1 d=1 t=4287
lai shuo 	来说	c=4 d=0.0869699 t=6719
lai zhe 	来着	c=4 d=0.0812682 t=6719
lan guang 	蓝光	c=2 d=1.94176 t=4628
lang 	狼	c=1 d=0.179066 t=6719
lao 	老	c=4 d=0.346456 t=6719
lao ban ben 	老版本	c=2 d=0.0701696 t=6719
lao biao 	老表	c=1 d=0.000182274 t=6719
lao po 	老婆	c=1 d=0.131336 t=6719
lao shi 	老实	c=3 d=0.218859 t=6719
lao shi 	老师	c=3 d=0.294699 t=6719
lao tie 	烙铁	c=1 d=0.000209665 t=6719
lao wai 	老外	c=1 d=1 t=5497
le 	乐	c=3 d=0.0194482 t=6719
le zi ren 	乐子人	c=1 d=1 t=6243
lei 	泪	c=1 d=0.00398587 t=6719
lei 	类	c=1 d=0.386741 t=6719
lei 	累	c=1 d=0.647265 t=6719
li 	丽	c=1 d=0.0308074 t=6719
li 	李	c=6 d=0.111358 t=6719
li 	立	c=1 d=0.00726273 t=6719
li 	里	c=23 d=1.1933 t=6719
li hai 	厉害	c=1 d=0.0735345 t=6719
li hui 	立绘	c=1 d=1 t=4608
li li si 	莉莉丝	c=1 d=0.995012 t=6719
li mian 	里面	c=3 d=0.155673 t=6719
li pu 	离谱	c=2 d=0.882497 t=6719
li xian 	离线	c=1 d=0.0343896 t=6719
li zi 	例子	c=2 d=1.07465 t=5755
lian 	脸	c=1 d=0.0629761 t=6719
lian 	连	c=4 d=0.755784 t=6719
lian ai 	恋爱	c=0 d=2.00439e-05 t=6719
lian ai huo dong 	恋爱活动	c=1 d=0.000201444 t=6719
lian dong 	联动	c=1 d=0.554327 t=6719
lian ji ban 	联机版	c=1 d=0.0323869 t=6719
lian jie 	链接	c=3 d=0.777985 t=6719
lian wang 	联网	c=1 d=0.0824965 t=6719
lian xi 	联系	c=1 d=1 t=5000
lian xiang 	联想	c=2 d=1.95123 t=5011
liang 	凉	c=1 d=0.0430669 t=6719
liang 	量	c=2 d=0.0263839 t=6719
liang ge 	两个	c=4 d=0.0269406 t=6719
liang ge ren 	两个人	c=1 d=1 t=4797
liang zhong 	两种	c=2 d=0.180988 t=6719
liao 	了	c=1 d=1 t=5983
liao jie 	了解	c=1 d=1 t=5426
lie biao 	列表	c=1 d=1 t=5211
ling wai 	另外	c=4 d=0.105469 t=6719
ling ya 	铃芽	c=1 d=0.308819 t=6719
